M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
512,7680,2560,2,1,2,1,2,16,32,64,40,1024,3,1,24453192.0,11059200.0,29982720.0,0.0,12902472.0,16588728.0,0.678387,0.562498,0.553276,1.0
512,8192,2048,2,1,2,1,2,16,32,64,32,1024,3,1,20971592.0,9437184.0,25690112.0,0.0,11010120.0,14155704.0,0.674994,0.562497,0.551018,1.0
512,8960,1536,2,1,2,1,2,16,32,64,24,1024,3,1,17346632.0,7741440.0,21217280.0,0.0,9031752.0,11612088.0,0.669415,0.562497,0.547294,1.0
512,9216,2304,2,1,2,1,2,16,32,64,36,1024,3,1,26468424.0,11943936.0,32440320.0,0.0,13934664.0,17915832.0,0.676876,0.562498,0.552271,1.0
512,10240,2560,2,1,2,1,2,16,32,64,40,1024,3,1,32604232.0,14745600.0,39976960.0,0.0,17203272.0,22118328.0,0.678388,0.562498,0.553277,1.0
512,32000,2048,2,1,2,1,2,16,32,64,32,1024,3,1,81920072.0,36864000.0,100352000.0,0.0,43008072.0,55295928.0,0.674999,0.562499,0.55102,1.0
512,32768,2560,2,1,2,1,2,16,32,64,40,1024,3,1,104333384.0,47185920.0,127926272.0,0.0,55050312.0,70778808.0,0.678391,0.562499,0.553278,1.0
512,49152,960,2,1,2,1,2,16,32,64,15,1024,3,1,60653640.0,26542080.0,73924608.0,0.0,30965832.0,39813048.0,0.6564,0.562499,0.538563,1.0
512,49152,2048,2,1,2,1,2,16,32,64,32,1024,3,1,125829192.0,56623104.0,154140672.0,0.0,66060360.0,84934584.0,0.674999,0.5625,0.55102,1.0
512,50272,2048,2,2,1,2,1,16,32,64,32,1024,3,1,128696392.0,57913344.0,157652992.0,0.0,67565640.0,86869944.0,0.674999,0.5625,0.55102,1.0
512,100352,2048,2,1,2,1,2,16,32,64,32,1024,3,1,256901192.0,115605504.0,314703872.0,0.0,134873160.0,173408184.0,0.675,0.5625,0.55102,1.0
512,151936,896,2,1,2,1,2,16,32,64,14,1024,3,1,175638088.0,76575744.0,213925888.0,0.0,89338440.0,114863544.0,0.653979,0.5625,0.536931,1.0
512,151936,1536,2,1,2,1,2,16,32,64,24,1024,3,1,294148168.0,131272704.0,359784448.0,0.0,153151560.0,196908984.0,0.669421,0.5625,0.547297,1.0
512,256000,2304,2,1,2,1,2,16,32,64,36,1024,3,1,735232072.0,331776000.0,901120000.0,0.0,387072072.0,497663928.0,0.67688,0.5625,0.552273,1.0
512,262144,640,2,1,2,1,2,16,32,64,10,1024,3,1,221249608.0,94371840.0,268435456.0,0.0,110100552.0,141557688.0,0.63981,0.5625,0.527343,1.0
1024,128,896,2,1,2,1,2,16,32,64,14,1024,3,1,296008.0,129024.0,360448.0,0.0,150600.0,193464.0,0.653577,0.562291,0.536732,1.0
1024,256,640,2,1,2,1,2,16,32,64,10,1024,3,1,432200.0,184320.0,524288.0,0.0,215112.0,276408.0,0.639537,0.562354,0.527206,1.0
1024,256,1536,2,1,2,1,2,16,32,64,24,1024,3,1,991304.0,442368.0,1212416.0,0.0,516168.0,663480.0,0.6693,0.562439,0.547238,1.0
1024,256,2048,2,1,2,1,2,16,32,64,32,1024,3,1,1310792.0,589824.0,1605632.0,0.0,688200.0,884664.0,0.674908,0.562454,0.550976,1.0
1024,320,960,2,1,2,1,2,16,32,64,15,1024,3,1,789832.0,345600.0,962560.0,0.0,403272.0,518328.0,0.656251,0.562422,0.538489,1.0
1024,640,1024,2,1,2,1,2,16,32,64,16,1024,3,1,1679432.0,737280.0,2048000.0,0.0,860232.0,1105848.0,0.658465,0.562463,0.539965,1.0
1024,640,2048,2,1,2,1,2,16,32,64,32,1024,3,1,3276872.0,1474560.0,4014080.0,0.0,1720392.0,2211768.0,0.674963,0.562482,0.551002,1.0
1024,896,896,2,1,2,1,2,16,32,64,14,1024,3,1,2071624.0,903168.0,2523136.0,0.0,1053768.0,1354680.0,0.653922,0.56247,0.536903,1.0
1024,896,4864,2,1,2,1,2,16,32,64,76,1024,3,1,10737736.0,4902912.0,13189120.0,0.0,5720136.0,7354296.0,0.684902,0.562494,0.557603,1.0
1024,960,960,2,1,2,1,2,16,32,64,15,1024,3,1,2369352.0,1036800.0,2887680.0,0.0,1209672.0,1555128.0,0.656352,0.562474,0.538539,1.0
1024,960,2560,2,1,2,1,2,16,32,64,40,1024,3,1,6113352.0,2764800.0,7495680.0,0.0,3225672.0,4147128.0,0.678372,0.56249,0.553269,1.0
